Length,Sentence
17," Well , can you be more specific ? There are a lot of websites about that . "
19,"I want to redo this poster , but John and Mary think it's good enough as it is . "
30," Yes , there aren't any clouds in the sky and we've got such a beautiful view here . Look ! This is St James Park . And there's Buckingham Palace "
16, We jumped off a bridge and fell 500 feet before the bungee cord caught us . 
23, We ’ re in the same boat ! I ’ Ve eaten fast food the whole week . I hate it now . 
15,"I'm afraid we can't increase salary this year , money is just too title . "
31, Get the goods on her ? She never allows me to go to her office . And she is a good woman . She has been faithful all these years . 
12, Take care of yourself and don't forget to keep in touch . 
16," All right.We ' ll take the second row.By the way , how much is it ? "
23," I've got white wine , red wine , gin and tonics , ginger ale , lemonade , orange juice , and sprite . "
20, I can hardly stand these wet and cold days . It seems that it doesn't bother you very much . 
19," Oh , I'd love to . But we're going to clean our dormitory . I can't be absent . "
13, A month . Don't forget to return them by the due date . 
51," Oh really ? I have an uncle who is also terrified of flying . It ' s not that bad though , I mean , it is pretty scary to be in this big machine flying through the air at seven hundred miles per hour . I actually have arachnophobia . "
19, A party ? Yes . I'd love to . Thank you for inviting me . Will Monica come ? 
11,How could you have done that without asking me first ? 
12," I ’ ll pick you up at ... say , 7,30 ? "
11," Oh , I know . I will try my best . "
17, I'm such a fool that duplication of effort is only a waste of time to me . 
51," Yes , and the driver didn't speak any English or Chinese and he didn't have a phone on him-can you believe it ? - and his radio didn't work . So there was no way he could get in touch with the office to get them to send another taxi . "
8,Do you have change for a hundred ? 
32," Well , but for this one , don ’ t bring your cell phone to meetings , I think it is not reasonable . What if there are some important calls ? "
24," On that day , people play all kinds of tricks on others , and the one easily taken in is called April fool . "
17," Yes , before you start your training , they will test you on your English first . "
21," I'm so familiar with her songs , but I don't know what kind of person she is in real life . "
12," I don't know him , but I think my sister does . "
21," Oh , really ? Thanks a lot ... well , I still have a lot to learn , I guess . "
7,Are you going abroad to study ? 
38, Don't take any chances . It'd be best if you told him and promised not to be late again . He's already mad at you for last 2 times . Any more and he might fire you . 
27," I mean if you don ’ t sell your shares now , it ’ s quite likely that you ’ ll end up losing your shirt . "
9,Ann invited us to dinner this saturday afternoon . 
33," Well ... this one costs more , but it has a much better sound.This part of it is made of wood , not plastic . And there's a tone control , too . "
12," I wasn't feeling too well , so I stayed at home . "
17," Yes , I do . It ’ s very interesting . What ’ s your job ? "
19, Do you want to go to an exhibition ? There is one at the Xinghai Exhibition Hall tomorrow . 
73," Of course it does . It ' s like a modern tale of Romeo and Juliet . You can see a couple who are in love but can ' t be together because they are so different . And in the fact that immortality and super human strengthen this really sexy and there you have it ! Plus the cast is hip , young people that make the movie even more enticing . "
36," Well . Yes , but those people always start talking to me . I never talk to them first . Perhaps I'm not as shy as I think . Anyway , you're certainly not shy ! "
13, There's been bad blood between them since Bobbie took away John's girlfriend . 
28, Not a good day . I hate to tell you that Mr . Thomas wants to see the profit ’ s statement for new project tomorrow morning . 
14," Yes , it is.It was taken just before I was leaving for college . "
10," Yes , I can , but not very well . "
16, I won't ever forget it ! I was sitting in the cafeteria all by myself ... 
29,"May , we are fools to hang out at noon . It's dying hot today . My skin is too weak to be exposed under the summer sun . "
35," The man asked where we want to go , then he type out the information on the form and waited for a reply . A few moment later , he gave us two tickets . "
14, I ’ d rather you stayed in the office and did these things . 
16," I like spring , too.We can go for a walk and enjoy the fresh air . "
15," It's ... OH , it's the first of April , April Fools ' Day . "
10, So you'll have a tour of the famous city . 
15, I really feel great shame . Let me buy a new one for you . 
18, I don't know . But they say that Mrs . Smith wears the pants in the house . 
25, Yes . In fact there are quite a large number of people who have no food to eat and no place to live in . 
44, I guess I ’ ll just have to tell Mr . Robinson that you ’ re too busy every evening – doing God knows what ... God don ’ t go on like this . If you absolutely refuse to take her out ... 
57," Look , there are other ways to quit . You can try the nicotine patch , or nicotine chewing gum . We spend a fortune on cigarettes every month and now laws are cracking down and not allowing smoking in any public place . It ’ s not like you can just light up like before . "
19," We're planning a weekend camping trip , and we want to know which weekend is best for everyone . "
13,It is reported that the temperature is going to drop dramatically tonight . 
28," I suggest you read English texts aloud every day , and try to speak more . That will be beneficial to cultivate your sense of the language . "
19," Ms . Lee , could you tell me what number 7 is again ? I didn't catch you . "
18," Watch his bread , it seems to be delicious . He had a lot on the ball . "
49, I know that . You don't have to tell me that . That's my problem . I know I have the right to work for the university . That's legal.But they don't have a job for me . And it's illegal for me to get a job elsewhere . 
26," Sure . Speaking of photos , what type of film will be the best ? You know , I'm planning a tour to Jiuzhaigou Valley . "
18, I could meet with you tomorrow anywhere from two until four ; what time works out best ? 
11,At what age do children start school in your country ? 
34," We hit a couple of local bars , and met up with some friends . Everything was cool until Mike came along , and it turned out that it was his birthday yesterday ! "
50," But you're actually having the same reaction as our tree-dwelling ancestors ! It's called the flight or fight response . Each time you feel like something's threatening you , your body decides whether to run away or fight ... it causes all sorts of chemical reactions in the body . "
69," Well , I ddin't think so at first . But as we started talking , I found him extremely funny and witty . I couldn't stop laughing at his jokes ! We have so much in common . We like the same teams , music , and most amazingly , we both love Chinese food ! I have the feeling that we are going to be great friends . "
14," No , I really must go now.My family are expecting me home soon . "
39," Well , it was a warm evening , so I stretched my legs . I walked along the canal for a couple of miles . Actually , several other people had the same idea . I saw Bill . "
3,Guess what ? 
23," Look , I've already paid for the tickets , so whether you like it or not we're going to finish watching it . "
55," I'm a graduate student here in mathematics . I've just come from China and I've never used a western library before . I'll be here for five years , so I'd like to learn to use the library as efficiently as possible . I wonder if someone might have time to show me around . "
22, Don't tell me you got the dreaded Bush virus . I've heard that that bug is threatening to infect the world . 
20," Of course , my grandpa is generous and kind.My grandma cooks the most delicious Chinese dishes in the world . "
19, Do you want to add some baby ’ s breath for that ? They are equally popular now . 
46," alright . Hmm , this movie is a rerun ... I don't know how many times I've seen this show ... Commercial again ... and a replay of the talk show ... oh no , this show is terrible , you don't wanna watch it . "
7,That woman is a thorough drag ! 
14, He must be courageous enough to fly in the face of established authorities . 
61," You know , today I asked a student if he brought his dictionary with him . It ’ s a rule I made for the class that everyone brings a bilingual dictionary with them because sometimes they don ’ t understand me . The funniest thing is that this student gave me a lot of reasons and no direct answer . "
17,"Uncle , have a heart , please lend your new car to me . Only once . "
20, That would be very nice . Only that I ’ ll be a little late . Is that OK ? 
11, But it'supposed to get cloudy and windy again this afternoon . 
32," Yeah , you remember that assignment I wanted ? When I heard the manager had given it to someone else , I blew my top . So the manager fired me . "
21, The company regulates that men should wear a suit and tie in business meeting . Company policy is not negotiable . 
27, Yeah ! He is a nice guy . He is very helpful and always bends over backward to help those who are in need of help . 
44," It ’ s the same in Balloon . But I definitely think we over-tipped the cab driver . The fare was twenty dollars , and you gave him a five-dollar tip . That ’ s twenty-five percent of the total ! Too much ! "
21,"Thomas , would you be so kind as to lay the table for me ? I'm busy in the kitchen . "
40," He said his grandmother got cancer and has only a few weeks to live . It's really so sad ! But when I talked to him on the phone , it sounded like he was holding up really well . "
18,"The boss announces the pay raise today , right ? How much do you think we'll get ? "
21," It all depends . If it's rock music I'll do disco , and if it's romantic music I'll do ballet . "
18, Saving money ? How much money can you save by those 1 or 2 dollar discount coupons ? 
26, Taylor Smith . But not me . The pallbearers are carrying out the casket . It would be rude to just leave . Let's follow . 
31," Duh ! I would say yes ! Eric is the most popular kid in school ! Okay , my turn . What would you do if you won the lottery ? "
19, They are puzzles . It's a tradition to solve the puzzles on the lanterns during the Lantern Festival . 
46," Yeah , after receiving my yearly bouns , I want to search out better opportunities in the spring job market . I've been working in the company for nearly a year and a half and I still haven't received a pay rise . It's unfair . "
18, Emm ... yes . But I wasn't too impressed . I found her a little stuck up . 
9, The acting of the heroine is too artificial . 
18," Oh , mostly fiction , lots of romance , science fiction , biography , stuff like that . "
14," I'd like to , but I'm not sure if I'll have enough money . "
14," It sure is.He has no one to turn to , very miserable indeed . "
28," Sarah is your uncle Bill's older daughter . When she was young , Bill's first wife , Sarah's mom died . Three years later Bill married again . "
10,I'm worried sick that she will leave me tomorrow . 
13, I said I like pop music very much.It ' s so lovely . 
30," Yes . If you put a few drops on someone's eyelids while he's asleep , he'll fall in love with the first person he sees when he wakes up . "
18," Is your boss named Vic ? Your pager says , This is Vic . Here I come ! "
13, Good-bye . Remember to look me up if you're ever in Washington . 
9, Yes . She lives on the next block . 
18,"Don't talk too much , Tom . We are on duty today , we should hurry up . "
7,I think he deserved his gold . 
41," Well , we were only there for three days , so we didn't do too much . We went shopping and went out to dinner a few times . And at night we walked around the city with some friends . "
30," Yes , I am . I enjoyed studying it at school , though I had trouble remembering all the dates , so my teacher never gave me good marks . "
18, I hope it will last fine Sorrow . I'm going to have a picnic with my family . 
33," It's October the 1st , our National Day . I'd like to talk some more , but I've got to get going now . It was nice talking to you , though . "
24," So did I . At first , I thought it was going to be boring , but then it turned to be good . "
13, It's hard to keep up contact when people move around so much . 
18, Do you think so ? I don't like it very much . I found it rather uncomfortable . 
11," Well , it doesn't seem like it.He must have forgotten . "
23, But many rich guys don ’ t think they are truly happy . There is always some empty feeling deep inside them . 
16," Is that so ? We're using lures , and the fish are biting those too . "
12," My what ? Oh , that , right as a trivet . "
31," Because in history , the Chinese emperors used to climb onto these mountains and pay tribute to their ancestors and pray for good harvest and prosperity for the whole nation . "
22," You sit in there , listen to the morning announcement with other kids , and then you go to your classes . "
29," Oh , maybe three years . I will study and get the master degree first . Then I will decide whether I will stay there or come back . "
42," No . If it's your birthday , then you don't need to pay a cent . Just blow out the candles and open the gifts . That makes the birthday a special day . Your friends will take care of everything . "
36," i have felt that . One day when i was in a queue , reading a newspaper story , the man behind me peered through my shoulder and stared at the newspaper I was holding . "
55," I'm a graduate student here in mathematics . I've just come from China and I've never used a western library before . I'll be here for five years , so I'd like to learn to use the library as efficiently as possible . I wonder if someone might have time to show me around . "
41," it's not as bad as I thought it would be . The freshmen that live nearby are really loud , especially on the weekends . But , the rent is much cheaper than private housing , so it's worth it . "
15,Have you seen the news that there is a serious flood in the South ? 
46," You can ’ t compare apples and oranges . I believe that both topics are important and that we can ’ t ignore them , the mistreatment of animals can cause a great environmental imbalance . I believe that governments should prohibit activities like poaching . "
21," Oh , that ’ s a nice idea . Well , it ’ s fine if you take our picture . "
20," Well , you have three hearts — lucky in love tonight . Dress up and go on a date ! "
26, he is a nice guy and very considerate . I was impressed with how smart he was and he has a great sense of humor . 
21," Yes , I did . I enjoyed it a lot.There was a folk singer , a violinist and a pianist . "
14,"Hi , nice to hear from you , when does your plane leave ? "
26," Yes , that's true , but my wife found a new apartment on the Internet the other day and she wants to move right away . "
21," Well , I certainly couldn't have done it without your help . You are the best tutor I've ever had . "
10, I had to look after my son at home . 
10, That's for sure . I feel like I'm melting . 
21, that's something you need to overcome . Men should make the first move as most of girls prefer being chased . 
17,It's getting late . I'm afraid I have to leave.Thank you for a most wonderful evening . 
20," It's straight down this road on the left , next to the museum . It takes about 10 minutes . "
61," That is true . Some people will misunderstand your intention and lets you do it in the long threatening way . For example , it is not sensible at all to arguing with the others or correcting someone in front of other people . To show your friendliness and willingness to share is much more important than to show off . "
26," absolutely , many Chinese enterprises are going global , and they are in great need of excellent returnees to help them with their overseas business . "
52," Before the New Year , we always send greeting cards to our relatives and friends to wish them a happy year . On the street and in stores people usually greet others with a ' Happy New Year ' . It's also common for people to make a New Year's resolution . "
13," Is that spelt M , A , C or M , C ? "
32," Ah , my girlfriend wanted to see that movie . I have to take her later so I don't want to watch it ahead of time . How about The Cube ? "
13, There is one class on Tuesday and Thursday from 2 to 4 . 
18," I like autumn , too . Where I'm from , Autumn is the best time of year . "
8,How would you like your hair cut ? 
42," She was great . In today ’ s class , she gave us a lecture on how to be a good student . She told us not to arm for exams , and to pay more attention on communicating than memorizing . "
19,"I know you're sleepy and I hate to bother you , but I think you're late for work . "
36," You know that I have had a series of miserable relationships . Last summer , I fell in love with John . But the romance blossomed for six or seven weeks , and then wilted . "
5, The same as usual . 
19," Yes , he's 6 feet tall , 200 pounds , black hair , and about 30 years old . "
20," Oh , there are so many good ones ! I loved the Spice Girls . They were so cool ! "
33," I could not agree with you more . For us , there are so many unhappy things and I am so bored ; however , I got lots of fun from stealing . "
17, Mm — hmm . You met him last summer . He is small and very smart . 
15," Yes , she is . And guess what , he is her sixth husband . "
53," Well , I sympathize with your problem , but , to be honest , I don ’ t think there is any thing anyone can do for you . You were trapped in the system.If you want , you can talk to the director . She will help you if she can . "
18, You can't be serious . How dare you not tell me you were going to marry her ? 
23,Will you give your friends a buzz and put out a feeler to see if they like to offer me a loan ? 
25," I don't know yet . My wife's going to her mother's for a couple of weeks . She Livesay the sea , you know . "
37," No , but thanks for offering , actually could you bring some fold-up chairs for people if you have any ? I am afraid not everyone's going to have a seat , do you have any ? "
25, I read everything I can get my hands on but I like love stories best . What do you think about the love stories ? 
23, Many of the slower dances are danced to the lyrics of tragedies . He meant that you turned it into a comedy . 
19," You should've called in sick ! Next time , have either of your parents call the school office . "
21," I went there in August , and it was hot . But I was told autumn is the best season . "
16, Don't look a gift horse in the mouth ! That was the best they had . 
26," Well , let's go and have something to drink instead . I know a good place . It's a little expensive , but it's fun . "
9,Did you take my money from the table ? 
44," That doesn ’ t sound too bad . Great for sunbathing ! The coast of my country changes even within a few kilometers . There are cliffs , then sandy beaches . Then rocks . There are lots of caves in the cliffs . "
14,Any idea about James ? He ’ s a pain in the neck . 
7," No , she ’ s average . "
15," I think Mary must be sad , because she loves her husband very much . "
49," Well , do what you like to do . It can be anything . Jogging , doing aerobics , going bicycling , and playing ping-pong . Absolutely anything . Doing three or more workouts a week is good for you . But remember to do some stretches first . "
15,The woman was beaten again . Why didn ’ t she call the police . 
28, Please come to the front to have five minutes ’ free talk in English . Very well ! Whose turn is it to have a free talk ? 
24," I'm pretty satisfied with it . I can broaden my experience , learn lots of new things , and have more development opportunities . "
43," And maybe you suddenly have new interests . I mean you suddenly begin to do things you used to avoid , ie.You used to sleep in every morning , but because she jogs every morning , then you begin to like jogging . "
35," Well , I've got an idea , put the label cancer sticks on each pack of cigarettes , and read it before you smoke . It may give you a feeling to reduce it . "
7, Let's stop and have a look . 
20, I ’ m glad that you like it . This is only the first time that I made it . 
40, That ’ s not a bad idea . I brought many plenty of books and things back with me last summer . That would be great resource material . Now if I can only remember where I put them . 
13, I've entertained the idea . But I'm I leaning more toward politics . 
9,I dare you to talk to that girl . 
12, Are you sure that this has nothing to do with sleep ? 
14,Excuse me . My name is David Walker . Haven't we met before ? 
15,The last thing I want to see is to lose face before my friends . 
62," That ’ s true . But as a woman , I ’ m glad that even though I don ’ t want any children , I at least have a choice in how many children I have . On the other hand , I can ’ t imagine what China would be like if there weren ’ t a one-child policy ! "
14," Oh , that's all right . I just wondered what was keeping you . "
45," No , my wife doesn ’ t like traveling . We haven ’ t been traveling for more than ten years . The first time we traveled together was in 1978 when we just got married . We spent our honeymoon in the Alps . "
14," Why ? Is there some new , cool computer out on the market ? "
45," That happens in many places . In my city , there is a very good drug rehabilitation programme . The police and courts are also tough on people who commit crimes , but I don ’ t know if that ’ s the reason for "
7,Why do you like this computer ? 
10, I would also like to check out this video . 
33," Yes , it's fine . However , I personally think the fairways between the greens are a bit too long , especially for such a hot climate . Don't they have carts ? "
34," I manage one of the ski lodges.It ' s a great job , I can spend a lot of my time outdoors , and I also get to ski for free all season . "
32, It ’ s all so interesting . I ’ ll have to find more information about it on the internet . Or perhaps I should try and attend your geography class . 
12,"I'm sorry , I'm having a little trouble understanding your accent . "
19, Don't be so modest . I'm sure you can dance it very well . Let's dance it now . 
12," Yes , indeed , People say he's the smartest young man . "
13, Jack always lives by his wits and he cannot support his family . 
17, I ’ m in pretty bad shape . I am having an allergy all the time . 
36," it was a round day for me . My family attend the graduation ceremony . I was so nervous . I couldn't find my cap and gown , but all worked out in the end . "
27," Thank you , Joe . What would you like to drink with your meal ? I can offer you wine , mango juice , or water . "
10,How many days do you take off for Easter ? 
20," At a time like this , what she needs is a pat on the back rather than a blame . "
17, Yeah . They suit each other . A perfect match between a man and a girl . 
13,My uncle gave me this bicycle as a birthday present . Look ! 
26," I wouldn't mind a necklace . I was at the jewelry shop looking around , and they have a couple of beautiful necklaces I want . "
29," I like traveling for pleasure to get places for vacation for instance . But I don ’ t like traveling to work , waiting for buses , or ... "
23," Pretty good . Actually , I'm quite busy with work . By the way , say ' hello ' to your husband . "
47, The World Cup ! The first match is today ! It ’ s Mexico vs . South Africa ! It ’ s going to be a really good match ! Both teams have a very strong offense and have skilled players . I think that South Africa 
15, You ? Play badminton ? That's unbelievable ! You are shorter than a racket . 
30, You'll find it easily . Make sure you add the class and then we will look at the roll sheet later to make sure that you were added on . 
33, Do you need help setting up or anything ? I don't mind . I like to do that kind of thing . It's fun and I have a good eye for decorating . 
11," Not at all , I was totally in the dark . "
18," Well , I hate to have to say this , but I'm not happy with my room . "
41," As you know , my city is on the coast.the water is also not clean . But people still go swimming all year around . I prefer to sand bath on the beach when the weather is hot and sunning . "
12," Anyway , I dislike summer here.There ' s too much rainfall . "
36," I ' Ve beaning worked IBM for years . I am vested personnel file system , He is the after sale survise director . he such a nice boss , I like working for him . "
21, Anything you say or do might make it worse . Just try to ride out the storm for a while . 
24,"Well , no one could survive without water , but you see pollution has been making more and more water unable for drinking . "
19," She is the mature , stable , feminine type . I hope one day I can marry her . "
21,"You're right--Italian ! Ha ! Ha ! I was trying to trick you , but you didn't fall for it ! "
67," I use it for several things-surfing the net , word processing and creating presentations . I don ’ t play many games on my computer , but I do a lot of work with photographs . Using c computer program , you can edit and resize photographs . You can also make them brighter or darker and cut pieces from different photographs to create new ones . "
13, I said I like pop music very much.It ' s so lovely . 
34," Will , I'm under a lot of pressure . My manager is very pushy . He assigned me two projects . Now the deadlines are near but I have finished neither of them . "
36, Not quite good . It's windy and dry . We have got continental climate there . It's dry all the year round . Usually autumn is the best season of the year In New York . 
14, Yeah . I am on edge since she was out to the match . 
11, Let me know if I can do anything for you . 
28," Oh , fool ! You're nearly seventy and I'm in the low sixties . Would you like to spend the rest of the afternoon squabbling about this ? "
35," Good idea . We should also hold a series of presentations . We could have presentations on the history of the university , the courses we offer , and our links with other universities . "
8,Your knowledge of English is really surprising . 
7," Where are you from , Sam ? "
16, I ’ m a new student in the school . My name ’ s John . 
35," You'd probably need a faster processor , to begin with . And you also need a more powerful hard disc , more memory and a faster modem . Do you have a CD-ROM drive ? "
15, I'm getting a little short on cash . Let's just window shop a little . 
49," Oh , no , Nathan , I ... I really think we've bought this flat at the right time , you know . Market prices are going to go up , and I think you'll find in a year or two it will be worth a lot more . "
37," Well , going to a cinema , visiting the galleries , exhibitions and museums , finding and meeting old friends , exercising in the health club or mountain biking . There are so many good choices . "
17,"There is too much traffic in Taipei these days , I think cars should be banned . "
19, Don ’ t worry . I know there are no pennies from heaven . I will work hard . 
9,What do you think of the new mayor ? 
17," Just telephone us , and let us know in advance . We don't charge for cancellation . "
16," Oh , I see . Then , can I buy slides and picture postcards somewhere ? "
18," Yes . The board was favorably impressed with your application , but the competition was very fierce . "
35," That's a big mistake , you should always have a good breakfast . You will not run your car without fuel , and as well you won't expect your body to work without food . "
35," In general , a set of golf clubs 3 , 4 , 5 , 6 , 7 , 8 , 9 , PW ; Woods : 1 , 3 , 5 and a putter . "
58," Well , he drove out , and when he got to the booth to pay the attendant , he pretended to have an epileptic fit , you know , to scare the thieves away . The attendant was no help at all , even though the guys were holding guns in plain view , he did nothing . "
38," But let me tell you , you're doing just fine . I couldn't do half as well as you do when I was learning German . By the way , how long have you been learning English ? "
21," OK , I suppose , but she's had a rough time in the last few years , She got divorced . "
21, Unbelievable ! I remember her husband is her former classmate . They fell in love with each other in college . 
15," After five days ' hard work , I'm surely going to have some fun . "
17," Alright , now let's be serious . Actually , you get high marks in the exam . "
7,Did you have a good holiday ? 
20," My favorite is Diablo . It used to be Star Craft , but it is getting a little old . "
15," Thanks . By the way , tell your wife she throws a great party . "
23, I can ’ t thank you enough . I ’ m really touched . I don ’ t know what to say . 
21," I can not agree with you more . And if you are an awful one , that will be funny . "
16, I keep on meeting with difficulties in the experiment . I can hardly go on . 
21," You said it . You know , they fell in love at the first sight and quickly jumped into marriage . "
20, I see you have bought some coffee . Would you mind telling me how much you paid for it ? 
18," Well , at least half a year . Do I have to do my own grocery shopping ? "
16, She has promised her mother that she would be with him through thick and thin . 
13," I tried when you had gone , but I had no luck . "
11,I think I'm going to China this vacation.How about you ? 
16,"Jenny , I was wondering if you , um ... are you busy this Friday ? "
8, That's what the weatherman said last night . 
29," I really like that restaurant ; you get a lot for your money there . But , they've westernized their food , so it's not actually that spicy . "
26, Oh . It was great . I love Ma Lin . He ’ s my favourite table tennis player . Have you seen anything yet ? 
24," Me too . I want to know more about you , eg , what's your real name and what do you look like ... "
7, I'm good . How are you ? 
14, Just let it be . Her rudeness will come back to haunt her . 
13," No , I live alone in a flat near my work place . "
11, That's true . We can not judge people by appearance . 
12,I'm glad to have had the opportunity to meet you here . 
22," Why ? In my opinion , it doesn't matter whether you won or not . The most important thing is participation . "
44," Well , my mother came from a big family , and wanted to have one of her own . My father was an only child , and didn't really care about having a large family , but my mother talked him into it . "
16,"John , if you don't mind , I'd like to ask you a personal question . "
25," Thanks very much . Well , I'll be able to give you a visa for one year , a student visa , that is . "
30," You might want to change your plans . With the cold and wet weather that we're supposed to have tomorrow , the roads are going to be rather slippery . "
21," Most people grow accustomed to the climate , but there are many others who complain about it all the time . "
36," Yes , all right . So why ? Go on then . Say it . Oh , really , Mark . I promise I'm not going to be angry . Now why were you late ? "
15, Yes . It has been a long time since the last time we met . 
58," Everybody has their strengths and weaknesses.Even Larry.He might be a pain to be around , but he's also very good at staying in budget on projects.Mary , on the other hand , spends our project money like there's no tomorrow.Also , she's never willing to stay a little later at the office.She always leaves at 5pm sharp . "
21, Yeah . I have got much pressure in the company . I have to be wrapped up in my work . 
11,Watch your step . There's a hole in the sidewalk . 
11, That's a great relief . I was worried about him . 
38," That ’ s all you ever think about , food ! Oh , I think the bride ’ s coming now ! She looks gorgeous.Wait , what ’ s she doing ? Where ’ s she going ? "
67," Alright , come here and lay flat on your back . Let ’ s suppose this young woman has stopped breathing . We must lift the person ’ s chin so that we clear a pathway for air to get into the lungs . Then we place our mouth over the other person ’ s mouth and blow air two or three times , like this . "
72," I ’ ll say . I knew Sally would finally show her true colors . When she got her final test results back from Mr . Leo , she started yelling at him . You should have heard her . I ’ Ve never seen anyone get so upset before . To make a long story short , it seems that Mr . Leo failed her because he caught her cheating . "
7,"This is my uncle , Charles . "
10,"OH , This is the famous Emperor Palace building . "
13," Oh , not yet . At least have one for the road . "
17," Oh , that ’ s too bad . Why don ’ t you take some aspirin ? "
45," Really ? Thanks ! I went to that hair salon that you told me about , but enough about me ! Look at you ! You haven ’ t aged a day since the last time I saw you ! What is your secret ! "
22," I promise you that I have the time to do this . If I didn't , I wouldn't offer to help . "
10,I'm so angry . I feel like killing someone . 
14," You pay for the taxi and dinner , then to even things up . "
20," Even he's not coming back to school anymore , you still can call him and meet him on weekends . "
20,"I went to Rotes ’ , you know , Edith Roth is the author of a book about moths . "
31," You ’ re right . We will be able to travel at high speeds at the beginning and end of the journey , because we will be in built-up area . "
43," Well , apparently I ’ Ve run up quite a bill . I was under the impression that the Junior Executive Holiday Package only cost 250 dollars per night . I ’ Ve just been informed that it ’ s actually 500 do "
15," I had to move it , so that I can get my bike through . "
35," I am sorry you didn't enjoy it , sir . I will return it to the kitchen and bring you one that is well cooked . How is your steak this time , sir ? "
60," Nothing ! Anyway , you ’ re right , there ’ s no reason this has to be nasty.My lawyer tells me you ’ Ve accepted our alimony proposal and the division of property , as well as the custody agreement - I keep the cat and you get the dog . So that ’ s done ... finally . "
11," Well , don't get bend on a ship about it . "
30," I ’ m sorry . It ’ s for reference only , so it must stay in the library . But you ’ re welcome to look through it . "
12,Do you think you will ever work at that company again ? 
9,Are there any seats left for Saturday night ? 
23," Do you have anything in the middle section ? I want a good view , but sitting too close hurts my eyes . "
15,"Jenny , I want to go on a picnic . Could you come too ? "
22," Yes . After so many years of hard work , I ’ d rather I had an office of my own . "
21,I can look anybody in the face because I ’ Ve done nothing to make me feel guilty or something . 
30," I ’ m sorry . It ’ s for reference only , so it must stay in the library . But you ’ re welcome to look through it . "
58," Yes , she did a little . But you see , Americans are different from Chinese . You can ’ t depend on your own mother to be a full-time babysitter . She could baby-sit only once or twice a week . That ’ s it . I had to care for them most of the time . "
48," What's strange about that ! As a person born under the sign of Cancer , I am home-loving and wish for a peaceful family life . But according to astrology , Sagittarius guys are too adventurous and risk-taking.They seldom think of leading a settled and peaceful life . "
6,What does your father do ? 
39," Let me tell you the story.In 1892 , Patty Smith Hill and Mildred Hill wrote a song called ' Good Morning to you ' . But later someone added the words ' Happy Birthday ' to their tune . "
47," So you are all set . You can have these books for two weeks . If you need to have them longer , you can bring them here to renew them . If you don't , you get charged ten cents a day for each book . "
14, As soon as you can get here . We'll be waiting for you . 
25," Believe me , the time will fly by ! Before you know it , you'll be changing diapers ! You have to start preparing ! "
12," NYU was my first choice , but UCLA is just fine . "
14, Many people are striving for going abroad nowadays.It seems to be a trend . 
11, It was so perfect that it won a unanimous 10 . 
29, So did I . that's why I didn't take my umbrella . I got cold in the rain in the afternoon . It was raining cats and dogs . 
22," Thank you . I have roses , tulips , and daffodils . Do you like the rockery with the smaller flowers ? "
58," Yes , I do.At Ann's house I will call the phone company and have them check my line.If they can fix it right away without coming to my house , then we'll just return here.But if not , I need to wait at Ann's house to talk with the theater guild.It ' s very important to me . "
19," No , don't try to tend me . I'm becoming chubby , and I have to slender down . "
12, Take care of yourself and don't forget to keep in touch . 
16," A lecture on how to make stir-fried ginger beef , not the boxing you like . "
21," Yes , he ’ s been like this for two weeks . We don ’ t know what to do . "
19," Oh , yes . It's a great party . There are some people I don't know , though . "
38," Cooking is a hobby with me . I'm always trying to think up new recipes . I hope you like the soup . It's kind of a specialty of mine , so I hope you enjoy it . "
31," When you get the signed add slip , you must take it to the Admissions and Records Office or you will not be added . Can you find the office ? "
35," Water is rationed . We can only use a certain amount each month . It means that we cannot use some modern household items , like washing machines . They use too much water . "
20,"Ms Anderson , my name is Mike . I am Division Chief of ABC Company . Welcome to Toronto . "
29,"hello , Jason , there is going to be a screening of Final Destination 3 at our campus cinema tomorrow . I plan to go to see it . "
9," Would you tell us your name , please ? "
13," Well , you guys worked hard for it . It's really beautiful . "
22," Oh , I took a shine to him when we met for the first time . But it comes and goes . "
15, I think he ’ s the boy who just moved into my apartment building . 
12,All the soldiers in that country are armed to the teeth . 
14, I don ’ t think so . It ’ s kind of sore . 
10," Sure , he's ready to be friendly with anyone . "
48," I prefer summer , especially the summer evenings . When the sun comes down , it is so nice to take a walk and breathe . After a rain shower , the smell of the air is refreshing . It is also a best reason for ice-cream . "
8,"Hi , Betty ! Where's your boyfriend ? "
31," No , not yet . But Susan says they ’ d like to get married in November or December . Then they ’ ll go to Hawaii for their honeymoon . "
9," Not bad . How about you , John ? "
14," By the way , could you tell me when the film will begin ? "
18, But the rain has been pouring down for two days . We ’ Ve both caught colds . 
16," You know , just giving me lots to do . I'm really busy right now . "
48, You would think that people would be smart enough to stop something like that . No one knew his motorcycle was being stolen . The thieves came in a truck and convinced everybody that my uncle was parked illegally and they were there to tow it away . 
21," Why , that's very kind of you , Mrs . Johnson . I'm sure my wife will be glad to . "
79," Making a decision to start over is not an easy thing to do . It seems that you need this course more than I do . I love my current job . If I take this course , I hope to learn some tricks to get myself more organized at work . If they can give suggestions about how to boost work relationships , that will be great . I need these to improve my current work performance . "
10, It doesn ’ t make any difference to me . 
16, I ’ m going to need you to show me how to use the machine . 
12, Why don't you join us to go out for a walk ? 
20,"Simon , may I introduce you to Linda ? You don ’ t know each other , do you ? "
